Word,Definition,Example 1,Example 2
junior,someone who has a job at a low level within an organization,an office junior,Lewis has just moved up to the juniors.
kayak,a light narrow canoe with a covering over the to,,
keep-fit,"to stay healthy and strong, especially as a result of exercise",Running is a great way to keep fit.,"Now that I'm older, I find keeping fit a challenge."
kindergarten,"the first year of school, for children aged fiv",[ U ] Callie will start kindergarten in September.,
kitchen,"a room where food is kept, prepared, and cooked and where the dishes are washed",We usually eat breakfast in the kitchen.,the kitchen table
kitesurfing,"a sport in which you move across water by standing on a board and holding onto the strings of a large kite (= a piece of cloth on a frame, that is moved by the wind)",Kitesurfing is a physically demanding sport.,
knowledge,"understanding of or information about a subject that you get by experience or study, either known by one person or by people generally",Her knowledge of English grammar is very extensive.,He has a limited knowledge of French.
knowledgeable,knowing a lot,He's very knowledgeable about German literature.,
lake,a large area of water surrounded by land and not connected to the sea except by rivers or streams,We used to go boating on that lake.,Lake Windermere
landfill,"the process of getting rid of large amounts of rubbish by burying it, or a place where rubbish is buried",90 percent of American rubbish is dumped in landfill sites.,[ U ] The shopping center was built on landfill.
landlord,a person or organization that owns a building or an area of land and is paid by other people for the use of it,The landlord had promised to redecorate the bedrooms before we moved in.,Housing associations are the biggest landlords in this area.
landslides,a mass of rock and earth moving suddenly and quickly down a steep slop,The opinion polls are predicting a landslide for the Republicans in next week's election.,a landslide victory
lane,a narrow road in the countryside or in a town,He drives so fast along those narrow country lanes.,I live at the end of Church Lane.
laptop,a computer that is small enough to be carried around easily and is flat when close,I took my laptop with me so I could look at the spreadsheets on the train.,
latency,"the fact of being present but needing particular conditions to become active, obvious, or completely developed",The latency period for the cancer is 15 years.,They measured the latency of the brain's response to a stimulus.
latent,"present but needing particular conditions to become active, obvious, or completely developed",Recent developments in the area have brought latent ethnic tension out into the open.,We're trying to bring out the latent artistic talents that many people possess without realizing it.
law,"a rule, usually made by a government, that is used to order the way in which a society behaves",There are laws against drinking in the street.,The laws governing the possession of firearms are being reviewed.
leadership,the set of characteristics that make a good leader,What the company lacks is leadership.,He lacks leadership qualities/skills.
leaflet,a piece of paper that gives you information or advertises something,Demonstrators handed out leaflets to passers-by.,A leaflet about the new bus services came through the door today.
learn,to get new knowledge or skill in a subject or activity,They learn Russian at school.,"Can you drive? ""I'm learning."""
lease,"to make a legal agreement by which money is paid in order to use land, a building, a vehicle, or a piece of equipment for an agreed period of time",The building's 60 units are currently leased to students of the university.,[ + two objects ] It was agreed they would lease the apartment to him/lease him the apartment.
lease of life,an occasion when you become more energetic and active than before,His grandchildren have given him a new lease of life.,The project suddenly got a new lease of life when the developers agreed to provide some more funding.
leather,"animal skin treated in order to preserve it, and used to make shoes, bags, clothes, equipment, etc.",a leather coat/belt/handbag,Polish your shoes regularly to protect the leather.
leaves,plural of,,
lea,,,
lecture,"a formal talk on a serious subject given to a group of people, especially students",We went to a lecture on Italian art.,Who's giving the lecture this afternoon?
lecturer,someone who teaches at a college or university,a senior lecturer,a lecturer in psychology
leisure,the time when you are not working or doing other duties,The balance between work and leisure is changing.,"leisure activity Popular leisure activities included reading, going to movies, and talking with friends."
leisure time,,,
length,the measurement of something from end to end or along its longest side,in length The boat is ten metres in length.,The length of the bay is approximately 200 miles.
liberal democracy,"a system of government based on the belief that freedom and equality between people should be protected, and in which power is limited and is held either by elected representatives or directly by the people themselves",Liberal democracy requires a political party to win the support of the electorate at regular intervals.,"After some difficult years, the country now seems to be back on the road to liberal multiparty democracy."
libertarian,a person who believes that people should be free to think and behave as they want and should not have limits put on them by governments,Libertarians say the new law would impose excessive government regulation on patients and doctors.,"He says, ""I think people should have the right to take any risk they want. I'm a libertarian when it comes to that."""
library,"a building, room, or organization that has a collection of books, documents, music, and sometimes things such as tools or artwork, for people to borrow, usually without payment",a public/university library,a library book
life,"the period between birth and death, or the experience or state of being alive",Life's too short to worry about money!,spend your life I'm not sure I want to spend the rest of my life with him.
lifeboat,a large boat that is kept ready to go out and save people who are in danger in the wate,Employers will have to contribute to a new pensions lifeboat.,a political/economic lifeboat
light,"the brightness that comes from the sun, fire, etc. and from electrical devices, and that allows things to be seen",bright light,fluorescent light
lighthouse,a tall building near the coast or shore with a flashing light at the top to warn ships of rocks and other danger,,
likewise,in the same way,"Just water these plants twice a week, and likewise the ones in the bedroom.","informal ""I don't have time to spend hours preparing one dish!"" ""Likewise (= it's the same for me)."""
limelight,public attention and interest,"She's been in the limelight recently, following the release of her controversial new film.",He always tried to avoid the limelight.
liner,an object or material that is used to cover the inside surface of something,Heat the oven to 170°C and fill your baking tin with paper cupcake liners.,The plants growing on the roof sit on top of a waterproof liner.
linguistics,the scientific study of the structure and development of language in general or of particular language,,
lion,a large wild animal of the cat family with yellowish-brown fur that lives in Africa and southern Asia,a pride (= group) of lions,a literary lion
literary,"relating to literature (= written artistic works, especially those with a high and lasting artistic value)",The Booker Prize is the most coveted British literary award.,Literary critics raved over his novels.
literature,"written artistic works, especially those with a high and lasting artistic value",classical/modern literature,Wuthering Heights is a classic of English literature.
liver,"a large organ in the body that cleans the blood and produces bile, or this organ from an animal used as mea",,
livestock,"animals and birds that are kept on a farm, such as cows, sheep, or chicken",livestock farmers/industry/market The organic livestock industry has grown substantially in the last few years.,
local library,,,
log cabin,a small house made from tree trunk,,
logic,"a particular way of thinking, especially one that is reasonable and based on good judgment",I fail to see the logic behind his argument.,"If prices go up, wages will go up too - that's just logic."
lorry,a,,
truck,lorry driver He found work as a lorry driver.,articulated lorry,
low-risk investment,,,
lucrative,"(especially of a business, job, or activity) producing a lot of money",The merger proved to be very lucrative for both companies.,The owner and general manager offered the player a lucrative lifetime contract.
lumber/wood,,,
lunar calendar,"any of various systems for measuring the days, weeks, and months of the year that are based on the phases of the moon (= the regular changes in the shape of the moon as it appears to us on earth)",The Egyptians also had a lunar calendar to regulate festivals by phases of the moon.,Ramadan falls in the ninth month of the lunar calendar.
luxurious,very comfortable and expensive,They have a very luxurious house.,We spent a luxurious weekend at a country hotel.
magnet,an object that is able to attract iron and steel object,The United States has always acted as a magnet for people seeking fame and fortune.,Magnets are used to attach the toy train’s cars to the engine.
magnitude,the large size or importance of something,They don't seem to grasp the magnitude of the problem.,The magnitude of the task would have discouraged an ordinary man.
mail address,"a series of letters, numbers, and symbols used to send and receive email","Please provide your name, telephone number, and email address.",Don't forget to notify all your contacts when you change your e-mail address.
main hall,,,
maintenance,"the work needed to keep a road, building, machine, etc. in good condition",Old houses need a lot of maintenance.,There are thorough maintenance checks on each plane before take-off.
major role,"When you play, especially as a child, you spend time doing an enjoyable and/or entertaining activity",play with The children spent the afternoon playing with their new toys.,My daughter used to play with the kids next door.
majority,the larger number or part of something,The majority of the employees have university degrees.,A large majority of people approve of the death sentence.
Malaysia,a country in Southeast Asi,,
mammals,"any animal of which the female feeds her young on milk from her own body. Most mammals give birth to live young, not eggs","Humans, dogs, elephants, and dolphins are all mammals, but birds, fish, and crocodiles are not.",
man-made,artificial rather than natural,man-made fibres,It's a man-made lake.
management,the control and organization of something,The company has suffered from several years of bad management.,There is a need for stricter financial management.
manager,the person who is responsible for managing an organization,a bank manager,a station manager
Mandarin,"a small, sweet type of orange that has a thinner, looser skin",Peel and segment two mandarins and set aside.,"I've also had this salad with mandarin orange slices, chopped apple, or sliced grapes."
mandatory,"Something that is mandatory must be done, or is demanded by law",The minister is calling for mandatory prison sentences for people who assault police officers.,Athletes must undergo a mandatory drugs test before competing in the championship.
mandatory,"Something that is mandatory must be done, or is demanded by law",The minister is calling for mandatory prison sentences for people who assault police officers.,Athletes must undergo a mandatory drugs test before competing in the championship.
manipulate,"to control something or someone to your advantage, often unfairly or dishonestly",Throughout her career she has very successfully manipulated the media.,The opposition leader accused government ministers of manipulating the statistics to suit themselves.
manufacture,"to produce goods in large numbers, usually in a factory using machines",He works for a company that manufactures car parts.,The report notes a rapid decline in manufactured goods.
March,"an event in which a large number of people walk through a public place to express their support for something, or their disagreement with or disapproval of something",She's going on a march on Saturday in protest over the closure of the hospital.,a funeral march
mark,"a small area on the surface of something that is damaged, dirty, or different in some way",dirty mark There were dirty marks on her trousers where she had wiped her hands.,leave a mark His fingers had left marks on the table's polished surface.
Mass,having an effect on or involving a large number of people or forming a large amount,weapons of mass destruction,a mass murderer
mass media,"newspapers, television, radio, and the internet",The mass media has become one of the main instruments of political change.,Mass media play a role in shaping the reputation of celebrities and politicians.
massively,extremely or very much,The film is a massively ambitious project.,The company is forward-thinking and massively successful.
MasterCard,,,
mathematics,"the study of numbers, shapes, and space using reason and usually a special system of symbols and rules for organizing the",a mathematical formula,
maturity,the quality of behaving mentally and emotionally like an adul,How long does it take for the chicks to grow to maturity?,reach maturity The investment reaches maturity after ten years.
May,used to express possibility,There may be other problems that we don't know about.,I may see you tomorrow before I leave.
meal,"an occasion when food is eaten, or the food that is eaten on such an occasion",a hot meal,a three-course meal
meat,the flesh of an animal when it is used for food,I don't eat meat.,raw meat
mechanical pencil,a pencil in which the lead is pushed out by turning or pressing a part of the penci,,
media room,,,
medicine,"treatment for illness or injury, or the study of this",paediatric/preventative medicine,orthodox/Western medicine
melt,"to turn from something solid into something soft or liquid, or to cause something to do this",The snow usually melts by mid March.,Melt the chocolate slowly so that it doesn't burn.
memorable,likely to be remembered or worth remembering,a memorable performance,a memorable tune
merchandise,goods that are bought and sold,Shoppers complained about poor quality merchandise and high prices.,Japan exported $117 billion in merchandise to the US in 1999.
metal,"a chemical element, such as iron or gold, or a mixture of such elements, such as steel, that is generally hard and strong, and through which electricity and heat can travel","Metal, paper, and glass can be recycled.","Silver, gold, and platinum are precious metals."
metric system,"the system of measurement based on the meter, the gram, and the liter as the basic units of length, weight, and volum",Almost all countries around the world now officially use the metric system.,
Mexico,a country in southern North Americ,,
microwave,an electric oven that uses waves of energy to cook or heat food quickly,Put the fish in the microwave and it'll only take five minutes.,Shall I microwave something for dinner?
midday,twelve o'clock in the middle of the day,I just have a sandwich at midday/for my midday meal.,
midnight,twelve o'clock in the middle of the night,There's a great film on TV at midnight.,It was after midnight when we got home.
milk,"the white liquid produced by cows, goats, and sheep and used by humans as a drink or for making butter, cheese, etc.",a glass/carton of milk,cow's/goat's milk
millennium,"a period of 1,000 years, or the time when a period of 1,000 years ends",The corpse had lain preserved in the soil for almost two millennia.,How did you celebrate the millennium?
minerals,a valuable or useful chemical substance that is formed naturally in the groun,A healthy diet should supply all necessary vitamins and minerals.,a mineral supplement
minibus,a small bus in which there are seats for about ten peopl,,
miserable,very unhappy,She's miserable living on her own.,miserable weather
mobile home,"a type of building that people live in, usually staying in one place, but able to be moved using a vehicle or sometimes its own engin",,
module,"one of a set of separate parts that, when combined, form a complete whole","The emergency building is transported in individual modules, such as bedrooms and a kitchen, which are put together on site.",The full computer program is made up of several modules (= small programs) which should be individually tested before being integrated.
moisture,"a liquid such as water in the form of very small drops, either in the air, in a substance, or on a surface",These plants need a rich soil that retains moisture.,It was a clear day with little moisture in the air.
Monday,the day of the week after Sunday and before Tuesday,I start my new job on Monday.,Don't you hate going back to school on Mondays?
money management,the activity of organizing and investing your own or someone else's money,In seven out of 10 households it's a woman who's now responsible for money management.,a money management business/company/firm
monthly membership,,,
mortgage,"an agreement that allows you to borrow money from a bank or similar organization, especially in order to buy a house, or the amount of money itself","They took out a £400,000 mortgage (= they borrowed £400,000) to buy the house.",a monthly mortgage payment
mortgages,"an agreement that allows you to borrow money from a bank or similar organization, especially in order to buy a house, or the amount of money itself","They took out a £400,000 mortgage (= they borrowed £400,000) to buy the house.",a monthly mortgage payment
motivated,very enthusiastic or determined because you really want to do something,Our staff members are hard-working and highly motivated.,a very motivated student
mountain,"a raised part of the earth's surface, much larger than a hill, the top of which might be covered in snow",The Matterhorn is one of the biggest mountains in Europe.,The Rockies are a mountain chain/range in the western United States.
mountain biking,the sport or activity of riding a mountain bike (= a bicycle for riding over hills and rough ground),"He has taken up mountain biking, which gives him the chance to exercise and be outdoors.","While showing off his mountain biking skills, he flipped over the handlebars and injured his neck."
multiplicity,a large number or wide range (of something),There is a multiplicity of fashion magazines to choose from.,She knew a multiplicity of languages.
multitude,a large number of people or things,"The city has a multitude of problems, from homelessness to drugs and murder.",He stepped out onto the balcony to address the multitude below.
museum,"a building where objects of historical, scientific, or artistic interest are kept",a museum of modern art,the Natural History Museum
mushroom,"a type of fungus (= any of various types of organisms that get their food from decaying material or other living things) that grows soft parts above the ground that produce spores (= reproductive cells). Some types of mushroom can be eaten, and many types have a round top part that grows on a stem",wild mushroom The fish was grilled with wild mushrooms and fennel.,cultivated mushroom Cultivated mushrooms will never have the flavour of mushrooms grown in the wild.
musical instrument,"an object, such as a piano, guitar, or drum, that is played to produce musical sounds",play an instrument Which instrument do you play?,surgical instruments
narcotics,an illegal drug such as heroin or cocaine,He faces three years in jail for selling narcotics.,Morphine is a narcotic.
narrative,a story or a description of a series of events,It's a moving narrative of wartime adventure.,a first-person/third-person narrative
narrowboat,a,,
canal boa,,,
nature conservation,,,
necessary,needed in order to achieve a particular result,He lacks the necessary skills for the job.,I don't have much time so I won't be staying any longer than necessary.
neighborhood,"the area of a town that surrounds someone's home, or the people who live in this area",There were lots of kids in my neighborhood when I was growing up.,They live in a wealthy/poor/friendly neighborhood.
neither,not either of two things or people,"We've got two TVs, but neither works properly.",Neither of my parents likes my boyfriend.
nevertheless,despite what has just been said or referred to,"I knew a lot about the subject already, but her talk was interesting nevertheless.","Their team hadn’t lost a game the entire season. Nevertheless, we beat them by a huge margin last night."
New Zealand,a country in the southern Pacific Ocea,,
newsletter,"a printed or electronic document containing information about the recent activities of an organization, sent regularly to the organization's members",a monthly newsletter,a weekly/monthly/yearly newsletter
newspaper,"a regularly printed document consisting of large sheets of paper that are folded together, or a website, containing news reports, articles, photographs, and advertisements",read a newspaper Do you read a newspaper regularly?,in a newspaper I read about it in the newspaper.
Nigeria,a country in west Africa,,
nitrogen oxide,"a chemical compound of nitrogen and oxygen, especially nitrogen dioxide and nitrous oxide","A catalytic converter in a car converts nitrogen oxides back to nitrogen, and carbon monoxide to carbon dioxide.",The state has improved its air quality with big cuts in sulphur dioxide and nitrogen oxide emissions.
non-refundable,used to describe money that you pay that you cannot get back,"non-refundable deposit/fee/down-payment At this point, the purchaser will have to pay a 10% non-refundable cash deposit to the auctioneer.","The check-in desks close 40 minutes prior to departure, so if you're late, you're stuck with a nonrefundable ticket."
Nonetheless,despite what has just been said or done,"There are serious problems in our country. Nonetheless, we feel this is a good time to return.","There are possible risks, but nonetheless, we feel it’s a sound investment."
North America,"the continent that is to the north of South America, to the west of the Atlantic Ocean and to the east of the Pacific Ocea",,
North Korea,a country in East Asi,,
nourish,to provide people or living things with food in order to make them grow and keep them healthy,Children need plenty of good fresh food to nourish them.,She looks happy and well nourished.
November,"the eleventh month of the year, after October and before December",He's starting his new job in November.,The next meeting is on 2 November.
nursery,a place where young children and babies are taken care of while their parents are at work,Does Jake go to a nursery or a childminder?,nursery maid She had come off the boat fresh from Ireland and became a nursery maid in the household of one of America's most famous families.
nursing care,,,
Nutritional,relating to nutrition,Chemical sweeteners have no nutritional value.,
nuts,an rude word for testicles (= round male sex organs that produce sperm,[ + to infinitive ] You must be nuts to go climbing mountains in winter.,You’re nuts if you think you can go mountain climbing in a snowstorm.
oasis,a place in a desert where there is water and therefore plants and trees and sometimes a village or tow,Her office was an oasis of peace and sanity amid the surrounding chaos.,
obesity,"the fact of being extremely fat, in a way that is dangerous for health",The National Institute of Health is discussing ways of tackling the problem of childhood obesity.,A diet that is high in fat and sugar can lead to obesity.
obligations,the fact that you are obliged to do something,"[ + to infinitive ] If you have not signed a contract, you are under no obligation to (= it is not necessary to) pay them any money.",You have a legal obligation to (= the law says you must) ensure your child receives an education.
obscene,"offensive, rude, or shocking, usually because of being too obviously related to sex or showing sex","In the raid, police found several boxes of obscene DVDs.",He was jailed for making obscene phone calls (= ones in which unwanted sexual suggestions were made to the listener).
obvious,"easy to see, recognize, or understand",[ + (that) ] It's obvious (that) she doesn't like him.,They have a small child so for obvious reasons they need money.
obviously,in a way that is easy to understand or see,He was in tears and obviously very upset.,Obviously the school cannot function without teachers.
occasionally,sometimes but not often,I see him occasionally in town.,"Occasionally I'll have a piece of chocolate, but it's very rare."
occupation,a person's job,"In the space marked ""occupation"" she wrote ""police officer"".",Occupations experiencing shortages will need an average of 47% more graduates to meet demand.
occupation,a person's job,"In the space marked ""occupation"" she wrote ""police officer"".",Occupations experiencing shortages will need an average of 47% more graduates to meet demand.
occupied,An occupied place is being controlled by an army or group of people that has moved into it,occupied territory,She spent two years in occupied Paris (= Paris when it was under foreign control) during the war.
occupying,present participle of,,
occup,The rest of the time was occupied with writing a report.,The house hasn't been occupied (= lived in) by anyone for a few months.,
occurred,past simple and past participle of,,
occu,,,
occurs,(especially of accidents and other unexpected events) to happen,An accident involving over ten vehicles has occurred in the east-bound lane.,"If any of these symptoms occur while you are taking the medication, consult your doctor immediately."
ocean currents,,,
October,"the tenth month of the year, after September and before November",We have a meeting in October that you are welcome to attend.,Hallowe'en is on 31 October.
octopus,"a sea creature with a soft, oval body and eight arms",The giant Pacific octopus is found along much of the coastal North Pacific.,"octopus tentacle Octopus tentacles (more correctly called ""arms"") are equipped with hundreds of suction cups capable of tasting and touching."
offenders,a person who is guilty of a crime,first-time offenders,sex offenders
office assistant,,,
once in a while,"sometimes, but not regularly",You meet some really interesting people every once in a while.,We see each other every once in a while.
Opera,"a musical play in which all or most of the words are sung, or plays and music of this type",Carmen is my favourite opera.,I've never been a huge fan of opera.
opponents,a person who disagrees with something and speaks against it or tries to change it,a political opponent,Leading opponents of the proposed cuts in defence spending will meet later today.
opportunity,"an occasion or situation that makes it possible to do something that you want to do or have to do, or the possibility of doing something",Everyone will have an opportunity to comment.,I was never given the opportunity of going to college.
opportunity,"an occasion or situation that makes it possible to do something that you want to do or have to do, or the possibility of doing something",Everyone will have an opportunity to comment.,I was never given the opportunity of going to college.
optimistic,hoping or believing that good things will happen in the future,optimistic about She is optimistic about her chances of winning a gold medal.,
orange,a round sweet fruit that has a thick orange skin and an orange centre divided into many parts,orange juice a glass of orange juice,Orange is her favourite colour.
Orchestra,a large group of musicians who play many different instruments together and are led by a conductor,She's a cellist in the City of Birmingham Symphony Orchestra.,the New York Philharmonic Orchestra
order,"a request to make, supply, or deliver food or goods","take someone’s order ""Can I take your order now?"" said the waiter.",place an order I would like to place (= make) an order for a large pine table.
orientation,"the particular things that a person prefers, believes, thinks, or usually does",We employ people without regard to their political orientation.,He is not legally required to disclose his orientation to his employer.
oriented,showing the direction in which something is aimed,She wants to turn the company into a profit-oriented organization.,Hotels are a service-oriented industry.
orienteering,an activity in which you have to find your way to somewhere on foot as quickly as possible by using a map and a compas,,
original inhabitant,,,
outcomes,"a result or effect of an action, situation, etc.",It's too early to predict the outcome of the meeting.,It’s too early to predict the outcome of the election.
outdoor activities,,,
outrageous,shocking and morally unacceptable,"The judge criticized the ""outrageous greed"" of some of the bankers.",[ + that ] It is outrageous that these buildings remain empty while thousands of people have no homes.
Oval,shaped like a circle that is flattened so that it is like an egg or an ellipse,an oval mirror,an oval face
Oval,shaped like a circle that is flattened so that it is like an egg or an ellipse,an oval mirror,an oval face
oven,"the part of a cooker with a door, used to bake or roast food",a conventional/gas/fan-assisted oven,a microwave oven
overall,"in general rather than in particular, or including all the people or things in a particular group or situation","The overall situation is good, despite a few minor problems.","Overall, it has been a good year."
overlay,to cover something with a layer of something,The tiny carvings were overlaid with silver.,Her new novel is overlaid with political concerns.
overseas students,,,
overtaking,present participle of,,
overtak,"A quarter of the drivers surveyed did not recognize the ""no overtaking"" sign.",Hamilton pulled off a great overtaking manoeuvre down the outside.,
oxygen,"a chemical element that is a gas with no smell or colour. Oxygen forms a large part of the air on earth, and is needed by animals and plants to live",,
paddle steamer,a large boat that uses a paddle driven by steam to move through the wate,,
painting,a picture made using paint,The walls are covered in oil paintings.,an exhibition of 19th-century French painting
Pakistan,a country in South Asi,,
palace,"a large house that is the official home of a king, queen, or other person of high social rank",a royal/presidential palace,Buckingham Palace is open to the public.
paper,"thin, flat material made from crushed wood or cloth, used for writing, printing, or drawing on","writing paper Emily took a sheet of writing paper, picked up a pen, and began to write.",thin paper Dictionaries were usually printed on thin paper.
parachute,"a piece of equipment made of a large piece of special cloth that is fastened to a person or thing that is dropped from an aircraft, in order to make him, her, or it fall slowly and safely to the groun",The plan is to parachute into the town.,[ often passive ] Thousands of leaflets were parachuted behind enemy lines.
paragliding,the sport of jumping out of an aircraft with a special parachute that allows you to travel a long horizontal distance before you lan,,
park,"a large area of land with grass and trees, usually surrounded by fences or walls, and specially arranged so that people can walk in it for pleasure or children can play in it",Central Park,Hyde Park
parliament,"in some countries, the group of (usually) elected politicians or other people who make the laws for their country",On Tuesday the country's parliament voted to establish its own army.,She was elected to Parliament in 1997.
part-time,"If you work part-time or do part-time work, you work for only some of the day or the week",a part-time job,After my children were born I decided to go part-time.
partial refund,,,
particular,"special, or this and not any other",She wanted a particular type of cactus.,He wouldn't take just any book - he had to have this particular one!
passenger,"a person who is travelling in a vehicle but is not driving it, flying it, or working on it",airline/rail/train/car passengers,Two passenger trains were involved in the accident.
passionate,having very strong feelings or emotions,a passionate speech,The child's mother made a passionate plea for help.
passport photo,,,
pasta,"a food made from flour, water, and sometimes egg, that is cooked and usually served with a sauce. It is made in various shapes that have different names","Spaghetti, lasagne, ravioli, and cannelloni are all types of pasta.",
pathetically,in a way that is not at all enough or good enough,They get paid a pathetically low salary.,My parents' advice on sex was pathetically inadequate.
pedestrian safety,,,
pencil,"a long, thin object, usually made of wood, for writing or drawing, with a sharp black or coloured point at one end",a box of coloured pencils,pens and pencils
penguin,"a black and white bird, found mainly in the Antarctic, that cannot fly but uses its small wings to help it swim",What time do they feed the penguins at the zoo?,Puffins are often confused with penguins.
peninsula,a long piece of land that sticks out from a larger area of land into the sea or into a lake,the Korean/Arabian/Florida Peninsula,the Monterey Peninsula
perceived,past simple and past participle of,,
perceiv,How do the French perceive the British?,Women's magazines are often perceived to be superficial.,
performing arts,"forms of entertainment such as acting, dancing, and playing musi",Season tickets to the theater are a perfect gift for someone who loves the performing arts.,
peripheral,Something that is peripheral is not as important as something else,The book contains a great deal of peripheral detail.,A figure came into my peripheral vision.
permanent,lasting for a long time or for ever,She is looking for a permanent place to stay.,Are you looking for a temporary or a permanent job?
Persian,"belonging to or relating to Persia, its people, or its languag","Anyone who has owned a Siamese, a Persian, and an Abyssinian will know that different breeds have their own special vocal characteristics.",A Russian blue cat has a very different personality from that of a Persian.
persistent,lasting for a long time or difficult to get rid of,a persistent smell/skin rash,Symptoms of the illness include a high temperature and a persistent dry cough.
personal fulfillment,,,
persuade,to make someone do or believe something by giving them a good reason to do it or by talking to that person and making them believe it,"If she doesn't want to go, nothing you can say will persuade her.",[ + (that) ] It's no use trying to persuade him (that) you're innocent.
persuade,to make someone do or believe something by giving them a good reason to do it or by talking to that person and making them believe it,"If she doesn't want to go, nothing you can say will persuade her.",[ + (that) ] It's no use trying to persuade him (that) you're innocent.
persuades,to make someone do or believe something by giving them a good reason to do it or by talking to that person and making them believe it,"If she doesn't want to go, nothing you can say will persuade her.",[ + (that) ] It's no use trying to persuade him (that) you're innocent.
pessimistic,thinking that bad things are more likely to happen or emphasizing the bad part of a situation,The tone of the meeting was very pessimistic.,pessimistic about The doctors are pessimistic (= not hopeful) about his chances of recovery.
phenomenon,"something that exists and can be seen, felt, tasted, etc., especially something unusual or interesting",Gravity is a natural phenomenon.,Do you believe in the paranormal and other psychic phenomena?
philosophy,"the use of reason in understanding such things as the nature of the real world and existence, the use and limits of knowledge, and the principles of moral judgment",René Descartes is regarded as the founder of modern philosophy.,the philosophy of education/religion/science
photography,the activity or job of taking photographs or filming,She's taking an evening class in photography.,The film won an award for its photography.
phylum,a main division in a taxonomic (= scientific naming and organization system) relating to animals,"Members of the largest and most diverse phylum of animals (Arthropoda), have segmented bodies and an external skeleton.",
physics,the scientific study of matter and energy and the effect that they have on each other,nuclear physics,a physics lab
pickup,"the act of picking someone or something up, or the place where it happens",pickup point The pickup point for the long-distance coaches is now in the new bus station.,Your purchase will be available for pick-up in an hour.
picnic,"an occasion when you have an informal meal of sandwiches, etc. outside, or the food itself",If the weather's nice we could have a picnic in the park.,Why don't you take a picnic with you?
pilot,a person who flies an aircraft,a fighter/helicopter/bomber/airline pilot,"If you'd seen the pilot, you'd know why they decided not to make a complete series of programmes!"
ping-pong,to move in a way that changes direction repeatedly,The ball ping-ponged around the box for most of the second half.,Applause ping-ponged off the walls.
pink,of a pale red colour,pretty pink flowers,Have you been in the sun? Your nose is a bit pink.
pioneer,a person who is one of the first people to do something,one of the pioneers of modern science,a pioneer heart surgeon
pitch,"an area painted with lines for playing particular sports, especially football",a football/hockey/cricket pitch,invade a pitch Supporters invaded (= ran onto) the pitch.
pizza,"a large circle of flat bread baked with cheese, tomatoes, and sometimes meat and vegetables spread on top",slice of pizza Would you like a slice of pizza?,pizza topping I like lots of different pizza toppings.
placement test,a test that measures someone’s ability in order to put that person in a particular class or grou,,
plastic,an artificial substance that can be shaped when soft into many different forms and has many different uses,He put a sheet of plastic over the broken window.,Those flowers aren't real - they're made of plastic.
platform,a flat raised area or structur,The next train for Aberdeen will depart from platform 9.,mount the platform The whole audience stood up and applauded as the party's new leader mounted the platform.
plausible,"seeming likely to be true, or able to be believed",a plausible explanation/excuse,a plausible salesman
pleaded,"to make an urgent, emotional statement or request for something","He was on his knees, pleading for mercy/forgiveness.",She appeared on television to plead with the kidnappers.
pleasures,"enjoyment, happiness, or satisfaction, or something that gives this",His visits gave his grandparents such pleasure.,Taking pleasure in simple things will help you relax.
pleeded,,,
poison,a substance that can make people or animals ill or kill them if they eat or drink it,The pest control officer put bowls of rat poison in the attic.,Her drink had been laced with a deadly poison.
politics,"the activities of the government, members of law-making organizations, or people who try to influence the way a country is governed",Joe is very active in left-wing politics.,The group is campaigning to get more women into politics.
poll,a study in which people are asked for their opinions about a subject or person,carry out/conduct a poll We're carrying out/conducting a poll to find out what people think about abortion.,opinion poll The latest opinion poll puts the Democrats in the lead.
pollution,"damage caused to water, air, etc. by harmful substances or waste",air/water pollution,The manifesto includes tough measures to tackle road congestion and environmental pollution.
polo,"a game played between two teams who ride horses and carry long wooden hammers with which they hit a small, hard ball, trying to score goals",Prince Charles is a keen polo player.,
polyglot,speaking or using several different languages,"She was reading a polyglot bible, with the text in English, Latin and Greek.",New York is an exciting polyglot city.
polygon,a flat shape with three or more straight sides,Triangles and squares are polygons.,Triangles and squares are polygons.
polygon,a flat shape with three or more straight sides,Triangles and squares are polygons.,Triangles and squares are polygons.
pond,"an area of water smaller than a lake, often artificially made",duck pond,garden pond
poor quality,,,
Portuguese,"belonging to or relating to Portugal, its people, or its language",Portuguese food/customs,There are six Spaniards and a Portuguese in the class.
post-secondary,,,
potatoes,plural of,,
potat,,,
potentially,possibly,Hepatitis is a potentially fatal disease.,This crisis is potentially the most serious in the organization's history.
pottery,the activity or skill of making clay objects by han,They sell pottery and other handmade goods.,
poultry and game,,,
poverty,the condition of being extremely poor,Two million people in the city live in abject (= very great) poverty.,He emigrated to Australia to escape the grinding (= very great) poverty of his birthplace.
poverty,the condition of being extremely poor,Two million people in the city live in abject (= very great) poverty.,He emigrated to Australia to escape the grinding (= very great) poverty of his birthplace.
power plants,a,,
power statio,,,
practical,"relating to experience, real situations, or actions rather than ideas or imagination",Qualifications are important but practical experience is always a plus.,The service offers young people practical advice on finding a job.
practice,action rather than thought or ideas,"How do you intend to put these proposals into practice, Mohamed?","It seemed like a good idea before we started, but in practice it was a disaster."
precious,"of great value because of being rare, expensive, or important",a precious gift,a precious moment/memory
precise,exact and accurate,The bunker's precise location is a closely guarded secret.,He caught me at the precise moment that I fainted.
